,all,all2022,all_fixed2022,autumn,autumn2022,autumn_fixed2022,lat,lon,spring,spring2022,spring_fixed2022,summer,summer2022,summer_fixed2022,spring_res,autumn_res,summer_res,all_res
471,34.26705043,38.7,37.97487149,291.4064974,272,293.7868998,41.7406,123.505,110.7319487,135,109.3981458,0.312673443,0.3679,0.347997346,1.3338029,-2.3804024,-0.035323902,-3.70782106
522,31.39736492,18.13,34.4912906,286.188619,286,288.6936301,43.9311,116.0781,113.964339,146,110.6046045,0.301875381,0.2279,0.352047889,3.3597345,-2.5050111,-0.050172508,-3.09392568
474,34.26705043,42.81,36.40043624,290.5679929,268,293.8628803,41.7867,123.4678,110.7319487,134,109.3981458,0.312673443,0.391,0.35336616,1.3338029,-3.2948874,-0.040692717,-2.13338581
478,34.26705043,62.51,36.40043624,290.5679929,275,293.8628803,41.8467,123.4264,110.7319487,119,109.3981458,0.312673443,0.5453,0.35336616,1.3338029,-3.2948874,-0.040692717,-2.13338581
476,34.26705043,42.44,36.40043624,291.3184307,263,293.8628803,41.8391,123.7086,110.7319487,145,109.3981458,0.312673443,0.4459,0.35686072,1.3338029,-2.5444496,-0.044187277,-2.13338581
468,34.26705043,37.3,36.40043624,291.4064974,283,293.8628803,41.6989,123.4231,110.7319487,128,109.3981458,0.312673443,0.3327,0.347997346,1.3338029,-2.4563829,-0.035323902,-2.13338581
462,33.00823029,26.2,36.41764894,290.3289728,266,293.5247719,41.3094,123.7169,112.0259557,144,109.8786882,0.319709439,0.2754,0.366071792,2.1472675,-3.1957991,-0.046362353,-3.40941865
498,31.10674584,50.16,34.47557103,286.2088191,272,288.5845379,42.8881,129.3964,117.5738776,158,113.3642726,0.356782837,0.5469,0.38731116,4.209605,-2.3757188,-0.030528323,-3.36882519
412,30.45068205,43.52,33.66139215,292.6605168,286,295.2869938,40.135,116.6636,112.9704863,109,110.4906887,0.325794903,0.3457,0.356524665,2.4797976,-2.626477,-0.030729761,-3.2107101
105,32.42640925,25.12,35.50218491,285.8779067,308,288.1386528,31.8764,117.3072,118.4987005,94,116.9797621,0.314981506,0.1957,0.342903108,1.5189384,-2.2607461,-0.027921602,-3.07577566
464,35.33103009,41.73,38.11601721,290.3289728,277,293.5247719,41.3472,123.8142,115.0259557,132,110.9405972,0.328664692,0.3924,0.377718719,4.0853585,-3.1957991,-0.049054027,-2.78498712
48,31.24829554,28.16,33.87390409,280.2066857,294,283.293397,30.9273,117.8059,116.967761,107,115.3376482,0.326398679,0.2633,0.350335826,1.6301128,-3.0867113,-0.023937147,-2.62560855
251,32.67250588,37.41,35.27412411,292.9800477,298,295.7812648,35.4209,119.471,115.4596993,115,113.6926474,0.305803605,0.3291,0.332400206,1.7670519,-2.8012171,-0.026596602,-2.60161823
259,30.32096968,28.88,32.83528114,288.0901216,279,292.0541247,35.5307,106.7021,118.1360525,85,116.0526724,0.267024869,0.2658,0.314667406,2.0833801,-3.9640031,-0.047642537,-2.51431146
260,28.82096968,24.35,32.7926354,290.0901216,282,292.2121326,35.5461,106.6692,118.1360525,121,116.5234037,0.267024869,0.2107,0.316510112,1.6126488,-2.122011,-0.049485243,-3.97166572
536,31.71560282,23.68,35.62594723,273.7087253,271,276.5380251,45.6077,122.7911,127.1477496,149,122.0375418,0.284083428,0.2957,0.326189938,5.1102078,-2.8292998,-0.04210651,-3.91034441
72,30.37614883,33.79,34.25884587,285.244584,298,287.3394777,31.3008,121.467,117.3261584,101,115.1263586,0.318503026,0.24,0.346711236,2.1997998,-2.0948937,-0.02820821,-3.88269704
463,31.82413169,37.33,35.69684805,290.3289728,285,293.5247719,41.3325,123.7567,112.0259557,127,110.6921528,0.331356366,0.3187,0.365396721,1.3338029,-3.1957991,-0.034040355,-3.87271636
499,29.60674584,32.57,33.44060992,284.1911618,277,287.4623327,42.8883,129.47,114.5738776,146,112.8994496,0.319978117,0.3638,0.350506441,1.674428,-3.2711709,-0.030528323,-3.83386408
500,29.60674584,9.75,33.44060992,284.1911618,256,287.1479153,42.9108,129.5055,117.5738776,132,113.3642726,0.319978117,0.1312,0.350506441,4.209605,-2.9567535,-0.030528323,-3.83386408
533,32.97121326,11.75,36.78869933,268.9062251,286,272.3048463,45.3001,130.9762,124.3883203,127,121.9063476,0.321843744,0.1305,0.353813707,2.4819727,-3.3986212,-0.031969963,-3.81748607
547,31.53674939,16.32,35.34559736,273.7087253,256,276.3555557,46.0656,122.0392,129.5569536,150,125.1054122,0.284083428,0.2513,0.3312237,4.4515414,-2.6468304,-0.047140272,-3.80884797
262,29.2796791,15.93,33.0717841,293.4726687,281,295.8291754,35.5993,103.2069,110.4251224,139,108.7755293,0.258361636,0.1599,0.304917714,1.6495931,-2.3565067,-0.046556077,-3.792105
261,29.2796791,13.34,33.0717841,293.753041,285,295.7014424,35.5734,104.6241,118.1360525,123,116.5234037,0.258361636,0.1399,0.304917714,1.6126488,-1.9484014,-0.046556077,-3.792105
484,31.73891652,43.71,35.49285715,291.3184307,272,294.1944699,41.9228,123.3783,113.4188175,126,111.0882446,0.30407978,0.4085,0.348267057,2.3305729,-2.8760392,-0.044187277,-3.75394063
475,30.42697639,21.42,34.18091702,291.5679929,285,293.7868998,41.7972,123.4017,114.4188175,129,110.301277,0.29884211,0.1894,0.343029387,4.1175405,-2.2189069,-0.044187277,-3.75394063
437,29.53926134,46.27,33.29320197,293.3769892,257,297.2842187,40.928,117.9503,112.9711436,126,109.7722463,0.313495074,0.447,0.348374767,3.1988973,-3.9072295,-0.034879692,-3.75394063
438,29.53926134,24.99,33.29320197,293.3769892,256,297.2842187,40.9655,117.8051,112.9711436,140,109.7722463,0.313495074,0.2803,0.348374767,3.1988973,-3.9072295,-0.034879692,-3.75394063
429,29.44619951,20.76,33.20014014,294.3620455,280,296.7191278,40.7677,120.8695,111.1383737,128,108.9702336,0.285423253,0.2029,0.320389871,2.1681401,-2.3570823,-0.034966618,-3.75394063
450,30.02650862,31.84,33.78044925,294.3620455,274,296.3133137,41.1222,121.1178,110.4419093,128,108.9702336,0.301387397,0.291,0.344856293,1.4716757,-1.9512682,-0.043468896,-3.75394063
473,30.42697639,32.21,34.18091702,291.4064974,286,293.7868998,41.7653,123.4114,114.4188175,102,110.301277,0.29884211,0.2809,0.343029387,4.1175405,-2.3804024,-0.044187277,-3.75394063
483,31.68068447,53.33,35.43462509,288.4064974,270,291.5290882,41.8961,124.0972,112.7319487,140,110.4013758,0.30149538,0.5148,0.340497044,2.3305729,-3.1225908,-0.039001665,-3.75394062
449,30.3176888,54.62,34.07162942,293.0375485,257,295.4939314,41.1196,123.044,115.4522058,136,113.1216329,0.320399091,0.5245,0.362945956,2.3305729,-2.4563829,-0.042546865,-3.75394062
493,30.56135203,70.05,34.31060814,291.3184307,273,293.8628803,42.2923,123.8649,112.7319487,125,110.4013758,0.358303021,0.6144,0.406634921,2.3305729,-2.5444496,-0.0483319,-3.74925611
200,30.11582289,31.12,33.81266718,275.0991043,279,278.544612,34.3497,107.2058,118.6889273,94,114.7648446,0.26580468,0.2245,0.315289922,3.9240827,-3.4455077,-0.049485243,-3.69684429
40,28.93770919,15.77,32.63455347,280.6429899,312,283.2023976,30.7819,111.3275,116.7781384,96,113.0012386,0.314695768,0.1847,0.353053828,3.7768998,-2.5594077,-0.03835806,-3.69684428
526,33.99768088,48.55,37.68837704,274.5288132,264,276.5638022,44.5462,129.6386,124.0655246,141,121.2518427,0.340545606,0.4749,0.370875157,2.8136819,-2.034989,-0.030329551,-3.69069616
530,33.99768088,23.64,37.68837704,274.5288132,277,276.5638022,44.6075,129.6364,124.0655246,140,121.6451697,0.340545606,0.2755,0.370875157,2.4203549,-2.034989,-0.030329551,-3.69069616
43,28.93770919,58.31,32.57984539,277.5661423,315,280.4287261,30.8064,106.056,116.7781384,107,112.5305073,0.31210582,0.5635,0.354224314,4.2476311,-2.8625838,-0.042118494,-3.6421362
41,28.93770919,28.44,32.57984539,277.5661423,282,280.0966992,30.7856,106.1064,111.7781384,85,105.8473654,0.31210582,0.256,0.362932683,5.930773,-2.5305569,-0.050826862,-3.6421362
42,28.93770919,35.66,32.57984539,277.5661423,298,280.0966992,30.8023,106.0789,111.7781384,120,105.8473654,0.31210582,0.3403,0.354224314,5.930773,-2.5305569,-0.042118494,-3.6421362
