,all,all2022,all_fixed2022,autumn,autumn2022,autumn_fixed2022,lat,lon,spring,spring2022,spring_fixed2022,summer,summer2022,summer_fixed2022,spring_res,autumn_res,summer_res,all_res
7,59.26295045,56.1,59.93831701,309.1311529,280,312.687562,40.41666666,-0.24916666,98.29848837,125,94.99034559,0.382873686,0.38,0.428458386,3.30814278,-3.556409073,-0.0455847,-0.675366564
524,53.31905373,56.41,54.71145276,309.538143,297,312.2160981,64.244226,19.767238,155.3806791,146,154.4718236,0.354740787,0.3791,0.403491877,0.90885556,-2.67795509,-0.04875109,-1.392399025
521,61.08124041,131.83,62.76276945,309.1311529,334,311.809108,60.37288,11.07407,151.8089592,151,150.4034649,0.367378944,0.4444,0.416890074,1.405494293,-2.67795509,-0.04951113,-1.681529044
523,61.08124041,121.2,62.76276945,309.1311529,294,311.7974593,63.1431,31.04695,152.6321342,152,151.8010449,0.381603268,0.5338,0.426438561,0.831089305,-2.666306372,-0.044835293,-1.681529044
527,65.93062203,82.63,70.13560099,309.538143,325,311.0028451,67.96715,24.11233,155.8608613,170,154.4108801,0.383176746,0.4584,0.426033313,1.449981213,-1.464702008,-0.042856567,-4.204978963
526,62.29961381,57.19,64.48660354,309.538143,320,311.0028451,66.3217,29.40157,156.8814929,176,155.2540711,0.3987131,0.4776,0.443548393,1.627421853,-1.464702008,-0.044835293,-2.186989724
516,71.59321351,28.82,75.88913539,308.2916888,318,309.1799314,59.4944458,25.9305687,145.438157,157,143.8414379,0.390522962,0.4616,0.430445653,1.596719077,-0.888242587,-0.039922691,-4.295921876
451,71.59321351,58.64,75.88913539,308.2916888,323,309.1720954,50.66043854,15.85009003,122.4079074,129,116.4593106,0.417762126,0.4838,0.45464371,5.948596858,-0.880406607,-0.036881584,-4.295921876
2,93.04077832,50.6,97.35395031,309.1311529,299,309.2285827,40.05416666,-0.46833333,96.77871133,113,94.79970502,0.379129778,0.4171,0.424714478,1.97900631,-0.097429773,-0.0455847,-4.313171994
132,75.52551315,70.51,79.84001861,296.1149054,249,296.2869632,44.865555,-0.939444,104.8577619,141,104.2897934,0.480546975,0.5363,0.487972586,0.567968469,-0.172057754,-0.007425612,-4.314505457
504,80.27634861,26.63,84.75791871,290.2602775,278,290.4323352,55.46333313,26.00416946,131.3861301,135,130.5626426,0.362753538,0.3594,0.411568501,0.823487511,-0.172057754,-0.048814963,-4.481570099
525,75.60450733,71.19,80.13217456,304.1311529,296,304.3613349,65.04338,25.4979,147.6156786,152,145.9131031,0.340339036,0.3729,0.370196693,1.702575511,-0.230182069,-0.029857657,-4.527667229
