bin,mean,std
26.0,19538.421074377227,9929.666330453036
28.0,22779.359929741415,9807.095429918108
30.0,28801.202420995964,14991.67704028684
32.0,37766.85735227338,16305.005523011963
34.0,36776.25622550444,19298.530977439208
36.0,40419.13595077893,25014.512658268464
38.0,35031.73356669122,22000.405224826187
40.0,23283.406510811972,17116.103545235736
42.0,15389.644062035242,13378.564648223206
44.0,12670.455875055537,10364.8065739921
46.0,13545.821678532933,10251.168086504647
48.0,10713.260943020881,6769.072920587936
50.0,9458.846845161866,5901.956008347142
52.0,6655.371971850746,4304.258911510207
54.0,3647.7152727127677,2723.2700750090094
56.0,2813.7378477658963,2795.853544967801
58.0,2952.6522253803737,2330.756819272953
60.0,2514.3238898714726,2149.9557523485437
62.0,1338.3270553652173,1709.3138055115148
64.0,3415.881700309615,3551.8629073670286
