bin,mean,std
26.0,6997.971604626335,5532.590496447867
28.0,10485.55904803588,6328.382838598225
30.0,13301.074667025574,8168.0630439423
32.0,16027.988418752791,7618.744666584219
34.0,15256.946002905568,8455.547117013419
36.0,16877.156775799795,10774.269315520381
38.0,15397.706349585485,10043.839344365819
40.0,10767.39929766711,7824.22728662567
42.0,6363.356785909027,5530.579802038923
44.0,5631.280805985667,5111.840630182847
46.0,6633.24338664364,5874.652341814016
48.0,5075.467503575938,3871.8345501942526
50.0,4670.287121689183,3485.131236122857
52.0,3157.983996367125,2393.714555593179
54.0,1429.8242828208695,1280.325431913215
56.0,762.4718825565883,915.4028668176668
58.0,621.4907440126357,658.5679715396706
60.0,432.65928946919024,470.79721021264885
62.0,117.57453293043478,195.92913468539456
64.0,69.21320350928846,90.225693347202
