bin,mean,std
26.0,9313.051735231318,6157.0965989371
28.0,8559.739930414142,4570.288729917054
30.0,10532.487143741588,6122.308710209247
32.0,14064.746867764266,6658.665669129809
34.0,12880.702297820822,6659.425862794927
36.0,14485.96816946701,7725.585585042114
38.0,11491.375051080608,7212.521720756261
40.0,7732.2412286128265,5743.252536900656
42.0,5979.419396112817,5876.826256593472
44.0,4739.510023032848,4702.608786911912
46.0,4171.502462584723,3670.9163255703393
48.0,3548.163086005702,2792.6929436721603
50.0,2888.315360828218,2146.987654448937
52.0,2065.686225108083,1550.4029758259344
54.0,1489.1415212797285,1304.6233792543014
56.0,1533.3043325893213,1517.2588764225516
58.0,1852.1601362103736,1643.2645023124135
60.0,1660.7852806373617,1592.66018452451
62.0,1071.241779475652,1511.2003420885726
64.0,3000.4967163519227,3136.063652428061
