bin,mean,std
26.0,6591.294519217082,4648.205957622798
28.0,10265.571347848901,6355.687689109228
30.0,15116.437632570658,8992.211283240767
32.0,20276.179478800794,9543.699700725392
34.0,21749.969555447944,12548.193423173178
36.0,24706.058751876495,16207.728671485127
38.0,22374.573880717617,15037.503045538891
40.0,15372.247735430285,11359.59289608009
42.0,9017.418425299884,7683.293797469351
44.0,7632.537267545127,6611.125827831151
46.0,9157.61590108265,7683.372141421502
48.0,7051.27134961326,4647.600104697166
50.0,6508.809441325715,4118.793213782806
52.0,4565.208045850815,3026.637292207872
54.0,2143.551072852339,1766.9941917478789
56.0,1242.1070767473934,1480.9336719856756
58.0,1069.7628741783178,1021.0473731127654
60.0,829.8228476120122,788.4025531238543
62.0,258.8703549013043,333.7557756155556
64.0,183.49002786905768,200.0575942406872
