,all,all2022,all_fixed2022,autumn,autumn2022,autumn_fixed2022,lat,lon,spring,spring2022,spring_fixed2022,summer,summer2022,summer_fixed2022,spring_res,autumn_res,summer_res,all_res
119,14.03135096,13.12,15.68489263,239.904425,231,246.7943545,63.7232,-148.9676,142.2299073,166,138.0918146,0.65851562,0.6714,0.707863973,4.1380927,-6.88992951,-0.049348353,-1.65354167
120,12.31160507,9.92,14.35699529,246.9808174,239,253.1408881,64.84569,-147.72742,137.7472662,158,130.7594978,0.687733449,0.719,0.693637061,6.9877684,-6.160070728,-0.005903612,-2.04539022
31,23.70991972,12.2,24.04542902,284.8392212,222,288.9569983,35.299484,-106.54891,124.7731591,142,121.5706577,0.712950772,0.7129,0.721115218,3.2025014,-4.117777045,-0.008164446,-0.3355093
32,31.75510412,26.34,32.91858966,286.1492832,211,287.4872777,35.320107,-97.4841,142.7943275,118,143.3833815,0.700713809,0.7369,0.709833247,-0.589054,-1.337994474,-0.009119438,-1.16348554
1,32.07267427,57.53,33.79955718,277.4481199,308,279.7613219,30.221254,-91.315414,146.6667821,109,141.035648,0.702427949,0.7128,0.716505264,5.6311341,-2.313201976,-0.014077315,-1.72688291
15,37.1142983,64.33,37.9975826,280.088721,261,282.9295935,33.72074,-84.357315,139.3614104,100,132.2577795,0.555089123,0.4505,0.54354511,7.1036309,-2.840872547,0.011544013,-0.8832843
0,37.3085075,26.17,38.2449494,279.1195519,306,280.9085466,30.041239,-90.27283,136.6069453,120,132.9441066,0.57380569,0.2311,0.562261678,3.6628387,-1.78899467,0.011544012,-0.9364419
5,36.11672827,16.8,37.05317017,282.1703682,255,280.1988648,30.46198,-91.17922,140.3149743,108,132.6156013,0.357852842,0.3693,0.449015223,7.699373,1.971503424,-0.091162381,-0.9364419
64,35.45168698,31.73,36.74573666,279.1810047,254,282.0218773,39.2787,-84.36625,130.4872567,103,124.4828506,0.430197253,0.3144,0.428893171,6.0044061,-2.840872547,0.001304082,-1.29404968
8,37.85749889,33.22,39.17288718,284.7728379,270,287.3226509,32.535294,-93.74704,134.7292642,88,131.6453554,0.455069625,0.3017,0.453765544,3.0839088,-2.549812974,0.001304081,-1.31538829
7,37.85749889,23.04,39.17288718,279.5199927,252,279.841047,32.50996,-92.046196,133.3324241,97,129.9357171,0.64833509,0.485,0.647131714,3.396707,-0.321054352,0.001203376,-1.31538829
3,36.58350206,20.45,38.15917716,279.1195519,281,280.9085466,30.378286,-88.53393,135.9342256,86,132.7841586,0.653031493,0.6664,0.651828118,3.150067,-1.78899467,0.001203375,-1.5756751
4,36.58350206,23.56,38.15917716,279.1195519,257,280.9085466,30.39037,-89.04978,135.9342256,106,132.7841586,0.628639558,0.4882,0.62883452,3.150067,-1.78899467,-0.000194962,-1.5756751
18,37.1142983,33.7,38.91279487,280.088721,278,283.8970768,33.9632,-84.0691,138.8740504,110,131.6899552,0.345723307,0.5675,0.447924028,7.1840952,-3.808355868,-0.102200721,-1.79849657
6,36.83397287,24.31,38.87592465,280.0918215,282,283.9001774,32.06848,-81.04942,138.7732172,108,131.7534786,0.344938257,0.643,0.449227867,7.0197386,-3.808355868,-0.10428961,-2.04195178
10,36.07381216,31.7,38.11576394,280.0918215,265,282.6416345,33.4339,-82.0224,139.3614104,126,132.1441336,0.468643966,0.2995,0.473372176,7.2172768,-2.549812974,-0.00472821,-2.04195178
62,36.45168698,56,37.66094893,279.1810047,286,282.0218773,39.0828,-84.1441,130.4872567,113,124.0407574,0.435124615,0.4608,0.440377371,6.4464993,-2.840872547,-0.005252756,-1.20926195
92,37.81056268,26.6,39.19296141,282.7838659,278,286.9189831,41.60316,-93.64312,93.24414798,124,94.70798877,0.467607342,0.2726,0.474196431,-1.46384079,-4.135117241,-0.006589089,-1.38239873
55,37.48756498,60.58,38.96543064,278.2118357,309,279.9340722,38.612034,-90.16048,124.3570376,98,120.4908106,0.547990691,0.5149,0.555834463,3.866227,-1.722236492,-0.007843772,-1.47786566
